"[width:100px]","[width:450px]","[width:550px]","[width:300px]","[width:100px]","[width:100px]","[width:75px]"
"Crew Count 4892384290 78543722 984738 [center; colspan:7; font-family:'topaz']",,,,,,
"Swissair [center; colspan:7]",,,,,,
"Flight Close [center; colspan:7]",,,,,,
" [colspan:2]",,,,,,
"02Sept98 [colspan:2]",,,,,,
"Flight: SR0234 [colspan:2]",,"Date:02Sept98 [colspan:3]",,,,
"==================================================================================================================================================================================  [colspan:7; text-overflow:inherit]",,,,,,
,,,,,,
"Estimated Passengers [colspan:2]",245,"Total Crew",15,,,
"Unconfirmed [colspan:2]",1,"Cockpit Crew",3,,,
"Stand-by Pax [colspan:2]",0,"Cabin Crew",12,,,
"Cancelled [colspan:2]",5,"Departure","ZRH",,,
"Total Estimated [colspan:2]",251,"Destination","GVA",,,
,,,,,,
"==================================================================================================================================================================================  [colspan:7; text-overflow:inherit]",,,,,,
"Cnt.","gl.Cnt.","Name","Rank","Cit.","Ship","Flt"
,,,,,,
"Cockpit Crew: [colspan:2]",,,,,,
1,1,"Weiss, Andreas","CPT","CH",,234
2,2,"Kunz, Michael","FO","CH",,234
3,3,"Schneider, Hans","M/C","CH",,234
"---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- [colspan:7; text-overflow:inherit]",,,,,,
"Cnt.","gl.Cnt.","Name","Rank","Cit.","Ship","Flt"
,,,,,,
"Cabin Crew: [colspan:2]",,,,,,
1,4,"Meier, Claudia","FA","CH",,234
2,5,"Suter, Markus","FA","CH",,234
3,6,"Fischer, Martina","FA","CH",,234
4,7,"Brunner, Fabian","FA","CH",,234
5,8,"Zürcher, Nicole","FA","CH",,234
6,9,"Haas, Thomas","FA","CH",,234
7,10,"Moser, Simone","FA","CH",,234
8,11,"Keller, Anita","FA","CH",,234
9,12,"Hofmann, Daniel","FA","CH",,234
10,13,"Müller, Beatrice","FA","CH",,234
11,14,"Tanner, Johanna","FA","CH",,234
,,,,,,
"==================================================================================================================================================================================  [colspan:7; text-overflow:inherit]",,,,,,
,,,,,,
"Identification Number [colspan:2]",,,,,,
,,,,,,
"gl.Cnt. [colspan:7]",,,,,,
1,"Weiss, Andreas [colspan:2]","CPT-23456723-CH-SR [colspan:4]",,,,
2,"Kunz, Michael [colspan:2]","FO-89745632-CH-SR [colspan:4]",,,,
3,"Schneider, Hans [colspan:2]","MC-72849374-CH-SR [colspan:4]",,,,
," [colspan:2]"," [colspan:2]",,,,
4,"Meier, Claudia [colspan:2]","FA-00923488-CH-SR [colspan:4]",,,,
5,"Suter, Markus [colspan:2]","FA-00198374-CH-SR [colspan:4]",,,,
6,"Fischer, Martina [colspan:2]","FA-00981274-CH-SR [colspan:4]",,,,
7,"Brunner, Fabian [colspan:2]","FA-00837294-CH-SR [colspan:4]",,,,
8,"Zürcher, Nicole [colspan:2]","FA-00478293-CH-SR [colspan:4]",,,,
9,"Haas, Thomas [colspan:2]","FA-00674389-CH-SR [colspan:4]",,,,
10,"Moser, Simone [colspan:2]","FA-00283719-CH-SR [colspan:4]",,,,
11,"Keller, Anita [colspan:2]","FA-00934873-CH-SR [colspan:4]",,,,
12,"Hofmann, Daniel [colspan:2]","FA-00387493-CH-SR [colspan:4]",,,,
13,"Müller, Beatrice [colspan:2]","FA-00198347-CH-SR [colspan:4]",,,,
14,"Tanner, Johanna [colspan:2]","FA-00398472-CH-SR [colspan:4]",,,,
